,ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
54,237592429,12/09/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 160102A,F,B,42,2,25-44,M,BLACK,1008754,238896,40.82236418400004,-73.91146641999995,POINT (-73.91146641999995 40.82236418400004)
97,237706294,12/12/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601502,F,K,72,0,25-44,M,BLACK,983829,178017,40.65530042700004,-74.00151874299998,POINT (-74.00151874299998 40.65530042700004)
102,237554847,12/08/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601001,F,B,42,0,18-24,M,BLACK HISPANIC,1008754,238896,40.82236418400004,-73.91146641999995,POINT (-73.91146641999995 40.82236418400004)
104,238030024,12/18/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601503,F,M,25,0,25-44,M,BLACK,1002064,229163,40.795665822000046,-73.93566377399995,POINT (-73.93566377399996 40.795665822000046)
105,236423423,11/18/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,M,28,0,25-44,M,WHITE HISPANIC,997440,233857,40.80855767700007,-73.95235475399994,POINT (-73.95235475399994 40.80855767700007)
107,236381474,11/17/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,Q,115,0,18-24,M,ASIAN / PACIFIC ISLANDER,1018714,214946,40.756594678000056,-73.87560301799994,POINT (-73.87560301799994 40.756594678000056)
118,237370476,12/05/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,M,13,0,45-64,M,BLACK,988972,207813,40.737082284000046,-73.98296229999994,POINT (-73.98296229999994 40.737082284000046)
141,237006789,11/27/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601504,F,M,6,0,18-24,M,BLACK,982746,206647,40.73388303300004,-74.00542831099993,POINT (-74.00542831099993 40.73388303300004)
145,236307772,11/15/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601503,F,Q,103,0,18-24,M,WHITE HISPANIC,1041879,197084,40.707447364000075,-73.79214176799998,POINT (-73.79214176799998 40.707447364000075)
155,237942842,12/16/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 160102A,F,K,79,0,25-44,M,WHITE HISPANIC,1000460,194494,40.700511239000036,-73.94154039399997,POINT (-73.94154039399997 40.700511239000036)
165,238043795,12/19/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402501,F,Q,110,0,25-44,F,BLACK HISPANIC,1020237,210724,40.74500029700005,-73.87012832399995,POINT (-73.87012832399995 40.74500029700005)
178,236103147,11/10/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,M,34,0,18-24,M,BLACK HISPANIC,1002162,249364,40.851111636000034,-73.93525591199995,POINT (-73.93525591199995 40.851111636000034)
179,236154712,11/11/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601504,F,B,47,0,25-44,M,WHITE HISPANIC,1026486,262591,40.88733281800006,-73.84725001299995,POINT (-73.84725001299995 40.88733281800006)
207,238254729,12/24/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402501,F,M,13,0,25-44,M,WHITE HISPANIC,987606,208148,40.73800240000002,-73.98789128999994,POINT (-73.98789128999994 40.73800240000002)
210,238175127,12/22/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,Q,110,0,45-64,M,BLACK HISPANIC,1020237,210724,40.74500029700005,-73.87012832399995,POINT (-73.87012832399995 40.74500029700005)
215,236046012,11/08/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601001,F,K,88,0,<18,M,BLACK,995302,190524,40.68962245400007,-73.96014913199997,POINT (-73.96014913199997 40.68962245400007)
216,237439659,12/07/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,B,47,0,25-44,M,BLACK,1021271,257055,40.87216165000007,-73.86614123499999,POINT (-73.86614123499999 40.87216165000007)
243,236391003,11/17/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601002,F,Q,106,0,25-44,F,BLACK,1033135,189401,40.68641198300003,-73.82373581099995,POINT (-73.82373581099995 40.68641198300003)
247,236197980,11/13/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402501,F,K,71,0,25-44,M,WHITE,999005,181250,40.66416202000005,-73.94681681999998,POINT (-73.94681681999998 40.66416202000005)
253,237666532,12/10/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402501,F,K,90,0,25-44,M,BLACK,1000242,195036,40.70199930000007,-73.94232531999995,POINT (-73.94232531999995 40.70199930000007)
266,238325448,12/27/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,M,13,0,25-44,M,WHITE HISPANIC,990367,209589,40.74195611000005,-73.977926885,POINT (-73.977926885 40.74195611000005)
298,236266517,11/14/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601001,F,K,81,0,25-44,M,BLACK,1001707,191769,40.69302937700007,-73.93705017699995,POINT (-73.93705017699995 40.69302937700007)
309,237805711,12/14/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601502,F,M,7,0,45-64,M,BLACK,988832,200278,40.716400613000076,-73.98347261399994,POINT (-73.98347261399994 40.716400613000076)
310,236866088,11/24/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,M,32,1,25-44,M,BLACK,1001500,239331,40.82357528000005,-73.93767460899994,POINT (-73.93767460899994 40.82357528000005)
327,236277339,11/15/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402501,F,M,1,0,25-44,M,WHITE HISPANIC,982351,201758,40.720463840000036,-74.00685220399998,POINT (-74.00685220399998 40.720463840000036)
344,237498866,12/07/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601502,F,K,71,0,18-24,M,BLACK,999005,181250,40.66416202000005,-73.94681681999998,POINT (-73.94681681999998 40.66416202000005)
350,237291763,12/03/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601001,F,Q,109,0,25-44,M,WHITE HISPANIC,1033466,213857,40.75353585000005,-73.82236350199997,POINT (-73.82236350199997 40.75353585000005)
358,236619671,11/20/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,K,70,0,<18,M,WHITE HISPANIC,998334,167536,40.62652114000008,-73.949264079,POINT (-73.949264079 40.62652114000008)
359,237291768,12/03/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601502,F,Q,109,0,18-24,M,BLACK,1032084,216954,40.762043893000055,-73.82732958099997,POINT (-73.82732958099997 40.762043893000055)
363,238106760,12/21/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 160102A,F,B,50,0,25-44,M,BLACK,1010984,261034,40.88311992000007,-73.90332096899994,POINT (-73.90332096899994 40.88311992000007)
376,236067005,11/09/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 160102A,F,Q,104,0,25-44,F,BLACK,1013787,195967,40.70451983100002,-73.89347040299998,POINT (-73.89347040299998 40.70451983100002)
393,236213626,11/13/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,K,78,0,45-64,M,BLACK,991296,187202,40.680508417000055,-73.97459780599996,POINT (-73.97459780599996 40.680508417000055)
413,236125038,11/11/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,M,24,0,25-44,M,WHITE HISPANIC,992793,229614,40.79691752000008,-73.96914666999999,POINT (-73.96914666999999 40.79691752000008)
420,238352666,12/28/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,M,25,0,18-24,F,WHITE HISPANIC,1000598,231062,40.800880893000055,-73.94095380699997,POINT (-73.94095380699997 40.800880893000055)
440,237431978,12/06/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601503,F,K,67,0,<18,M,BLACK,1006366,178059,40.655388103000064,-73.92029446099998,POINT (-73.92029446099998 40.655388103000064)
454,238294892,12/26/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,M,5,0,45-64,M,WHITE,984984,200116,40.71595711700007,-73.997353676,POINT (-73.997353676 40.71595711700007)
471,238079151,12/20/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601504,F,K,77,0,25-44,M,BLACK,994507,185552,40.67597640200007,-73.96302338199997,POINT (-73.96302338199997 40.67597640200007)
479,236046006,11/08/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,B,41,0,18-24,M,BLACK,1013086,236614,40.81608766100004,-73.89582435399994,POINT (-73.89582435399994 40.81608766100004)
492,236951732,11/26/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,B,52,0,18-24,M,BLACK,1017440,256046,40.86940749200004,-73.87999831299999,POINT (-73.87999831299999 40.86940749200004)
500,236138221,11/11/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 140251B,F,Q,101,0,25-44,M,BLACK,1047410,156429,40.595820856000046,-73.77257302099997,POINT (-73.77257302099997 40.595820856000046)
508,236427692,11/18/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402501,F,K,72,0,25-44,M,BLACK,984058,178998,40.65799306600008,-74.00069344599996,POINT (-74.00069344599996 40.65799306600008)
516,238281801,12/25/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 160102A,F,K,72,0,18-24,M,WHITE,981070,171394,40.63712115800007,-74.01145915499995,POINT (-74.01145915499995 40.63712115800007)
529,236303111,11/15/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,K,81,0,45-64,M,BLACK,1005312,190540,40.68964821100008,-73.92405412199997,POINT (-73.92405412199997 40.68964821100008)
542,237175926,12/01/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402501,F,M,7,0,25-44,F,WHITE HISPANIC,988832,200278,40.716400613000076,-73.98347261399994,POINT (-73.98347261399994 40.716400613000076)
573,236907421,11/24/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 160102A,F,M,23,0,25-44,M,BLACK,999606,226280,40.78775737700005,-73.94454776299993,POINT (-73.94454776299993 40.78775737700005)
574,237607776,12/09/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,K,75,0,18-24,M,BLACK,1017119,183909,40.67141166300007,-73.88151172399995,POINT (-73.88151172399995 40.67141166300007)
578,237410030,12/06/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,K,68,0,45-64,M,WHITE HISPANIC,978016,171958,40.638667594000026,-74.02246340399995,POINT (-74.02246340399995 40.638667594000026)
586,237269877,12/02/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,K,60,0,25-44,M,WHITE HISPANIC,991778,148367,40.57391411000003,-73.97290331099998,POINT (-73.97290331099998 40.57391411000003)
591,237599816,12/09/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 160102A,F,Q,113,0,25-44,F,BLACK,1046998,188633,40.684216584000076,-73.77375705999998,POINT (-73.77375705999998 40.684216584000076)
595,237431925,12/06/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601502,F,M,24,0,18-24,M,BLACK,992200,229037,40.79533436500003,-73.97128909399999,POINT (-73.97128909399999 40.79533436500003)
599,236791719,11/22/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,Q,110,0,18-24,F,WHITE HISPANIC,1020237,210724,40.74500029700005,-73.87012832399995,POINT (-73.87012832399995 40.74500029700005)
601,237583649,12/09/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601502,F,Q,112,0,25-44,M,WHITE,1023009,205046,40.729403895000075,-73.86015720899995,POINT (-73.86015720899996 40.729403895000075)
631,236912493,11/24/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,K,78,0,25-44,M,BLACK,991296,187202,40.680508417000055,-73.97459780599996,POINT (-73.97459780599996 40.680508417000055)
639,237900223,12/15/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 160102B,F,K,79,0,25-44,M,BLACK,999507,190206,40.688743368000075,-73.94498708099997,POINT (-73.94498708099997 40.688743368000075)
665,236526965,11/19/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,M,14,3,65+,M,WHITE HISPANIC,986882,214802,40.75626620700007,-73.99050124799999,POINT (-73.99050124799999 40.75626620700007)
684,236004007,11/08/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601504,F,B,43,0,18-24,M,BLACK,1020183,239283,40.82338729100008,-73.87017045,POINT (-73.87017045 40.82338729100008)
688,236394935,11/17/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,K,62,0,25-44,M,WHITE,983289,158770,40.60247141800004,-74.00346217799995,POINT (-74.00346217799995 40.60247141800004)
714,237378202,12/05/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,M,19,0,25-44,F,BLACK,996751,223632,40.78049382100005,-73.954862683,POINT (-73.954862683 40.78049382100005)
718,236375929,11/17/2021,223.0,"BURGLARY,RESIDENCE,NIGHT",107.0,BURGLARY,PL 1402502,F,K,94,0,45-64,M,BLACK,997245,204130,40.726965067000044,-73.95311662899995,POINT (-73.95311662899996 40.726965067000044)
735,236987043,11/27/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,K,60,0,25-44,M,WHITE,989009,149862,40.57801951000005,-73.98286967499998,POINT (-73.98286967499998 40.57801951000005)
758,237526394,12/08/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,M,14,0,45-64,M,WHITE HISPANIC,985720,214562,40.75560773700005,-73.99469553799997,POINT (-73.99469553799997 40.75560773700005)
762,236030080,11/08/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601503,F,M,25,0,18-24,M,BLACK,1001687,230761,40.80005264900007,-73.93702121199995,POINT (-73.93702121199995 40.80005264900007)
765,236066981,11/09/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,K,75,0,45-64,M,WHITE HISPANIC,1013179,181100,40.66371533900008,-73.89572710099996,POINT (-73.89572710099996 40.66371533900008)
776,237310672,12/03/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601001,F,K,66,0,25-44,M,BLACK,986735,167242,40.62572501600005,-73.99104937999994,POINT (-73.99104937999994 40.62572501600005)
786,236732475,11/21/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,K,79,0,25-44,M,BLACK,997487,192085,40.69390404200004,-73.95226719299995,POINT (-73.95226719299995 40.69390404200004)
789,238427838,12/30/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601001,F,Q,103,0,<18,M,BLACK,1041879,197084,40.707447364000075,-73.79214176799998,POINT (-73.79214176799998 40.707447364000075)
793,236495174,11/19/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,B,43,0,25-44,M,WHITE HISPANIC,1020183,239283,40.82338729100008,-73.87017045,POINT (-73.87017045 40.82338729100008)
798,238238049,12/23/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 140251C,F,K,70,0,25-44,M,BLACK,995180,174192,40.64479489800004,-73.96061552599997,POINT (-73.96061552599997 40.64479489800004)
840,237158622,12/01/2021,223.0,"BURGLARY,RESIDENCE,NIGHT",107.0,BURGLARY,PL 1402502,F,M,26,0,45-64,M,BLACK,996343,236150,40.814852894000076,-73.95631335299998,POINT (-73.95631335299998 40.814852894000076)
847,238325379,12/27/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601502,F,B,49,0,25-44,M,BLACK,1028857,246461,40.843049260000036,-73.83878239499995,POINT (-73.83878239499995 40.843049260000036)
870,236303177,11/15/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,Q,110,0,45-64,M,WHITE HISPANIC,1020237,210724,40.74500029700005,-73.87012832399995,POINT (-73.87012832399995 40.74500029700005)
874,236707954,11/21/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,K,75,0,25-44,M,BLACK,1019478,189846,40.68769829600007,-73.87297672299998,POINT (-73.87297672299998 40.68769829600007)
907,237326738,12/04/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601504,F,B,43,0,18-24,M,WHITE HISPANIC,1026742,242634,40.83255570000005,-73.84645067799994,POINT (-73.84645067799994 40.83255570000005)
911,236086477,11/09/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402501,F,K,90,0,25-44,M,BLACK,997897,194765,40.70125939500008,-73.95078325399999,POINT (-73.95078325399999 40.70125939500008)
914,237766925,12/13/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,M,17,0,45-64,M,BLACK HISPANIC,992349,210740,40.745113725000074,-73.97077300899997,POINT (-73.97077300899997 40.745113725000074)
922,237460964,12/07/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601504,F,Q,102,0,25-44,M,ASIAN / PACIFIC ISLANDER,1032428,198872,40.71241149700006,-73.82621729999995,POINT (-73.82621729999995 40.71241149700006)
937,237762756,12/13/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,B,47,0,25-44,M,BLACK HISPANIC,1026486,262591,40.88733281800006,-73.84725001299995,POINT (-73.84725001299995 40.88733281800006)
946,237861017,12/15/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402501,F,M,26,0,18-24,F,BLACK,996343,236150,40.814852894000076,-73.95631335299998,POINT (-73.95631335299998 40.814852894000076)
951,237410028,12/06/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,K,68,0,45-64,M,WHITE HISPANIC,978016,171958,40.638667594000026,-74.02246340399995,POINT (-74.02246340399995 40.638667594000026)
953,238079186,12/20/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,M,28,0,25-44,F,BLACK HISPANIC,997440,233857,40.80855767700007,-73.95235475399994,POINT (-73.95235475399994 40.80855767700007)
954,237326744,12/04/2021,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,PL 1402000,F,M,33,0,25-44,M,BLACK,1000634,244606,40.83805529000005,-73.94079071399995,POINT (-73.94079071399995 40.83805529000005)
959,236255358,11/14/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601001,F,K,75,0,25-44,M,WHITE HISPANIC,1013001,184056,40.67182947600002,-73.89635609299995,POINT (-73.89635609299995 40.67182947600002)
961,236182262,11/12/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1601502,F,K,77,0,25-44,F,WHITE HISPANIC,994507,185552,40.67597640200007,-73.96302338199997,POINT (-73.96302338199997 40.67597640200007)
969,238227645,12/23/2021,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,B,44,0,25-44,M,BLACK,1008309,244178,40.836862980000035,-73.91305529899995,POINT (-73.91305529899995 40.836862980000035)
